City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
260,Tautira,PF,-17.7333,-149.15,86.0,66,20,10.36,light rain
261,Kati,ML,12.7441,-8.0726,80.6,54,0,3.44,clear sky
262,Chemal,RU,51.4111,86.005,40.75,58,100,4.99,overcast clouds
263,Noumea,NC,-22.2763,166.4572,77.0,65,75,13.8,broken clouds
264,Carndonagh,IE,55.25,-7.2667,43.38,82,49,5.79,scattered clouds
265,Saint-Joseph,RE,-21.3667,55.6167,77.0,65,0,20.71,light rain
266,Vao,NC,-22.6667,167.4833,74.41,69,73,15.52,broken clouds
267,Acapulco,MX,16.8634,-99.8901,82.4,78,75,5.75,broken clouds
268,Axim,GH,4.8699,-2.2405,79.95,84,100,6.04,overcast clouds
269,Saldanha,ZA,-33.0117,17.9442,60.8,94,15,9.22,few clouds
270,Ust-Kuyga,RU,70.0167,135.6,31.15,94,99,7.52,overcast clouds
271,Cam Ranh,VN,11.9214,109.1591,86.0,70,20,5.75,few clouds
272,Izumo,JP,35.3667,132.7667,59.0,47,20,14.97,few clouds
273,Berlevag,NO,70.8578,29.0864,29.82,84,97,13.87,overcast clouds
274,Vaitape,PF,-16.5167,-151.75,81.34,64,5,1.36,clear sky
275,Ziro,IN,27.6333,93.8333,65.14,44,11,3.11,few clouds
276,Saint-Pierre,RE,-21.3393,55.4781,77.0,65,0,20.71,clear sky
277,Cauquenes,CL,-35.9671,-72.3225,56.52,65,0,3.15,clear sky
278,Andra,RU,62.5147,65.8878,42.17,71,100,15.12,overcast clouds
279,Cortez,US,37.3489,-108.5859,66.2,11,1,13.8,clear sky
280,Sohag,EG,26.557,31.6948,78.8,21,0,19.57,clear sky
281,Ballina,AU,-28.8667,153.5667,73.4,64,40,12.66,scattered clouds
282,Tevaitoa,PF,-16.7833,-151.5,81.27,65,3,2.1,clear sky
283,Acucena,BR,-19.0731,-42.5464,67.86,85,88,2.53,overcast clouds
284,Qeshm,IR,26.9581,56.2719,75.2,68,48,4.61,haze
285,Bakchar,RU,57.0186,82.0711,40.86,85,100,5.03,overcast clouds
286,Pundaguitan,PH,6.3711,126.1689,83.05,72,100,3.29,overcast clouds
287,Cadillac,US,44.2519,-85.4012,33.8,51,75,3.44,broken clouds
288,Terra Santa,BR,-2.1042,-56.4869,75.92,93,100,1.61,overcast clouds
289,Abaza,RU,52.655,90.0928,41.32,52,18,3.15,few clouds
290,Minsk Mazowiecki,PL,52.1794,21.5725,34.0,75,70,6.55,broken clouds
291,Portland,US,45.5234,-122.6762,55.99,62,75,6.91,broken clouds
292,Longyearbyen,SJ,78.2186,15.6401,14.0,67,20,3.44,few clouds
293,Kudahuvadhoo,MV,2.6708,72.8944,82.8,69,69,5.03,broken clouds
294,Birsk,RU,55.4211,55.5428,37.13,72,0,13.73,clear sky
295,Tateyama,JP,34.9833,139.8667,57.2,38,20,17.27,few clouds
296,Ampanihy,MG,-24.7,44.75,69.53,74,0,6.33,clear sky
297,Charters Towers,AU,-20.1,146.2667,73.09,69,100,10.69,overcast clouds
298,Guerrero Negro,MX,27.9769,-114.0611,59.86,80,100,15.26,overcast clouds
299,Keizer,US,44.9901,-123.0262,53.01,76,90,3.44,overcast clouds
300,Juneau,US,58.3019,-134.4197,60.8,27,20,9.22,few clouds
301,Asau,RO,46.4333,26.4,39.0,65,51,0.72,broken clouds
302,Shingu,JP,33.7333,135.9833,64.4,32,20,17.27,few clouds
303,Black Diamond,US,47.3087,-122.0032,54.0,84,100,3.18,overcast clouds
304,Mongo,TD,12.1844,18.693,84.16,42,83,6.85,broken clouds
305,Haines Junction,CA,60.7522,-137.5108,53.6,24,0,6.91,clear sky
306,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.2,72,0,4.61,clear sky
307,Constitucion,CL,-35.3333,-72.4167,56.91,79,0,9.19,clear sky
308,Fastiv,UA,50.0767,29.9177,37.4,87,90,6.71,overcast clouds
309,Sitka,US,57.0531,-135.33,55.4,50,1,4.61,clear sky
310,Machico,PT,32.7,-16.7667,62.6,72,20,3.44,few clouds
311,Yeppoon,AU,-23.1333,150.7333,80.6,36,2,10.36,clear sky
312,Caravelas,BR,-17.7125,-39.2481,75.49,84,2,6.55,clear sky
313,Leiyang,CN,26.4024,112.8591,60.69,94,100,3.53,moderate rain
314,Paita,PE,-5.0892,-81.1144,69.78,79,47,15.37,scattered clouds
315,Wardha,IN,20.75,78.6167,82.4,30,40,2.3,haze
316,Havoysund,NO,70.9963,24.6622,32.0,93,75,5.75,light snow
317,Rudnogorsk,RU,57.2639,103.7519,33.13,93,100,7.78,light snow
318,Sobolevo,RU,54.4299,31.8996,28.96,85,12,6.08,few clouds
319,Kalmunai,LK,7.4167,81.8167,80.4,76,100,4.79,overcast clouds
320,Touros,BR,-5.1989,-35.4608,77.0,88,0,4.61,clear sky
321,Hofn,IS,64.2539,-15.2082,43.57,71,12,17.11,few clouds
322,Lima,PE,-12.0432,-77.0282,63.0,88,40,4.61,scattered clouds
323,Kumba,CM,4.6363,9.4469,72.82,92,60,0.98,broken clouds
324,Dragor,DK,55.5946,12.6664,39.0,69,20,5.75,few clouds
325,Beoumi,CI,7.6736,-5.5764,75.2,94,20,6.91,few clouds
326,Salinas,US,36.6777,-121.6555,57.2,62,90,8.05,overcast clouds
327,Yar-Sale,RU,66.8333,70.8333,33.3,99,100,11.83,overcast clouds
328,Margate,GB,51.3813,1.3862,43.0,67,9,4.0,clear sky
329,Nabire,ID,-3.3667,135.4833,84.72,67,87,3.24,overcast clouds
330,Tecoanapa,MX,16.5167,-98.75,81.48,76,82,2.73,broken clouds
331,Harsin,IR,34.2721,47.5861,51.8,43,0,2.75,clear sky
332,Urucara,BR,-2.5364,-57.76,75.38,96,99,1.28,light rain
333,Mirnyy,RU,62.5353,113.9611,24.53,82,100,12.53,light snow
334,Guarda,PT,40.5373,-7.2658,46.99,93,84,4.74,broken clouds
335,Fjerritslev,DK,57.0813,9.2664,36.0,93,75,3.44,broken clouds
336,Hami,CN,42.8,93.45,47.07,12,88,2.24,overcast clouds
337,San Cristobal,VE,7.7669,-72.225,78.8,83,75,3.44,broken clouds
338,Mao,ES,39.8885,4.2658,59.0,82,0,14.97,clear sky
339,Half Moon Bay,US,37.4636,-122.4286,55.99,82,1,8.05,haze
340,Vardo,NO,70.3705,31.1107,31.55,68,39,6.76,scattered clouds
341,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.3,90,65,5.95,broken clouds
342,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,0,4.61,clear sky
343,Iranshahr,IR,27.2025,60.6848,77.0,23,0,4.61,clear sky
344,Waipawa,NZ,-41.4122,175.5153,60.8,48,25,17.27,scattered clouds
345,Salalah,OM,17.0151,54.0924,80.6,74,40,3.44,scattered clouds
346,Korem,ET,12.5058,39.5228,55.87,77,83,0.85,light rain
347,Adrar,MR,20.5022,-10.0711,80.46,21,56,9.13,broken clouds
348,Taksimo,RU,56.3444,114.8794,38.98,63,100,4.29,overcast clouds
