City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
105,Wabag,PG,-5.4781,143.7021,63.25,85,94,3.65,overcast clouds
106,Nemuro,JP,43.3236,145.575,42.8,26,20,12.66,few clouds
107,Nabire,ID,-3.3667,135.4833,85.28,66,74,4.61,broken clouds
108,Along,IN,28.1667,94.7667,95.31,20,14,1.07,few clouds
109,Ambon,ID,-3.6954,128.1814,89.6,58,40,8.05,scattered clouds
110,Alugan,PH,12.2188,125.4808,81.97,65,20,11.59,few clouds
111,Guarapari,BR,-20.6667,-40.4975,77.0,83,0,6.91,clear sky
112,Bosaso,SO,11.2842,49.1816,86.0,62,0,19.57,clear sky
113,Palmer,US,42.1584,-72.3287,46.99,49,1,18.41,clear sky
114,Havoysund,NO,70.9963,24.6622,33.8,86,75,10.36,light snow
115,Narsaq,GL,60.9167,-46.05,50.0,32,75,32.21,light rain
116,Constitucion,CL,-35.3333,-72.4167,56.14,76,0,8.61,clear sky
117,Pevek,RU,69.7008,170.3133,26.08,85,99,3.15,overcast clouds
118,Jaora,IN,23.6333,75.1333,96.17,6,4,6.17,clear sky
119,Santa Maria,BR,-29.6842,-53.8069,51.67,82,11,2.19,few clouds
120,Ereymentau,KZ,51.6199,73.1033,57.7,55,100,18.59,overcast clouds
121,Sola,VU,-13.8833,167.55,82.26,74,40,9.95,scattered clouds
122,Sistranda,NO,63.7256,8.834,35.6,93,75,6.91,broken clouds
123,Igarka,RU,67.4667,86.5833,20.32,75,88,4.45,overcast clouds
124,Cockburn Town,TC,21.4612,-71.1419,78.15,77,32,17.85,scattered clouds
125,Bardiyah,LY,31.7561,25.0865,61.14,75,1,17.49,clear sky
126,Luderitz,NA,-26.6481,15.1594,61.83,87,97,2.91,overcast clouds
127,Cabo San Lucas,MX,22.8909,-109.9124,68.0,44,100,11.74,overcast clouds
128,Geraldton,AU,-28.7667,114.6,84.2,28,21,11.5,few clouds
129,Siguiri,GN,11.6667,-9.5,81.63,51,82,3.74,broken clouds
130,Ribeira Grande,PT,38.5167,-28.7,59.52,85,100,7.54,overcast clouds
131,Bethel,US,41.3712,-73.414,53.6,50,75,11.5,broken clouds
132,Vostok,RU,46.4856,135.8833,49.44,25,9,8.46,clear sky
133,Aranos,NA,-24.1333,19.1167,61.3,26,12,10.67,few clouds
134,Rocha,UY,-34.4833,-54.3333,57.13,86,67,7.09,broken clouds
135,Leningradskiy,RU,69.3833,178.4167,27.95,89,79,1.48,broken clouds
136,Khatanga,RU,71.9667,102.5,17.24,84,99,17.25,overcast clouds
137,Qasigiannguit,GL,68.8193,-51.1922,48.2,43,75,21.85,broken clouds
138,Broken Hill,AU,-31.95,141.4333,69.8,37,0,12.66,clear sky
139,Puerto El Triunfo,SV,13.2833,-88.55,78.8,100,40,2.3,scattered clouds
140,Uvat,RU,59.1433,68.8953,43.43,80,100,8.95,light rain
141,Vanimo,PG,-2.6741,141.3028,83.12,67,100,4.05,overcast clouds
142,Bengkulu,ID,-3.8004,102.2655,84.99,69,43,9.06,scattered clouds
143,Carnarvon,AU,-24.8667,113.6333,87.8,30,0,10.36,clear sky
144,Partenit,UA,44.578,34.3446,50.27,52,94,2.73,overcast clouds
145,Gamba,GA,-2.65,10.0,76.64,90,65,3.36,light rain
146,Rumoi,JP,43.9344,141.6428,37.4,75,75,13.8,broken clouds
147,Souillac,MU,-20.5167,57.5167,77.0,88,75,14.97,light rain
148,Sijunjung,ID,-0.6876,100.9537,84.65,71,68,2.62,broken clouds
149,Wewak,PG,-3.5534,143.6268,84.56,69,65,7.83,broken clouds
150,Sisimiut,GL,66.9395,-53.6735,38.23,75,98,5.39,overcast clouds
151,Baft,IR,29.234,56.6057,68.0,19,39,8.57,scattered clouds
152,Hithadhoo,MV,-0.6,73.0833,82.89,66,64,4.36,broken clouds
153,Talnakh,RU,69.4865,88.3972,11.82,84,99,9.33,overcast clouds
154,Konevo,RU,62.1215,39.3192,40.39,93,100,6.33,overcast clouds
155,San Policarpo,PH,12.1791,125.5072,81.81,66,20,12.48,few clouds
156,Ponta Do Sol,PT,32.6667,-17.1,59.0,81,44,1.99,scattered clouds
157,Novobirilyussy,RU,56.9514,90.6661,40.46,89,100,6.44,overcast clouds
158,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.22,93,55,4.76,broken clouds
159,Zarubino,RU,42.63,131.0922,47.3,56,83,11.25,broken clouds
160,Keflavik,IS,64.0049,-22.5624,37.4,93,0,11.5,clear sky
161,Soe,ID,-9.8607,124.284,77.32,41,15,7.23,few clouds
162,Torez,UA,48.0388,38.5969,47.62,53,100,6.98,overcast clouds
163,Flinders,AU,-34.5833,150.8552,71.6,43,0,6.91,clear sky
164,Port Elizabeth,ZA,-33.918,25.5701,59.0,88,0,3.44,clear sky
165,Bambous Virieux,MU,-20.3428,57.7575,78.01,88,75,14.97,light rain
166,Nagtipunan,PH,16.2167,121.6,86.18,53,58,3.71,broken clouds
167,Tevriz,RU,57.509,72.4042,51.17,48,84,8.86,broken clouds
168,General Pico,AR,-35.6566,-63.7568,49.33,82,0,6.22,clear sky
169,Sambava,MG,-14.2667,50.1667,76.15,81,100,7.11,overcast clouds
170,Nuuk,GL,64.1835,-51.7216,37.4,93,75,1.14,broken clouds
171,Barrow,US,71.2906,-156.7887,19.4,86,1,16.11,clear sky
172,Sungairaya,ID,0.7,108.9,85.23,70,25,6.33,scattered clouds
173,Robertsport,LR,6.7533,-11.3686,81.63,79,100,5.66,overcast clouds
174,Ilulissat,GL,69.2167,-51.1,48.2,43,75,21.85,broken clouds
175,Darnah,LY,32.767,22.6367,60.98,82,4,16.44,clear sky
176,Pedra Azul,BR,-16.0053,-41.2972,65.3,96,1,2.21,clear sky
177,Hervey Bay,AU,-25.2986,152.8535,75.99,60,56,5.99,broken clouds
178,Vao,NC,-22.6667,167.4833,74.43,71,46,15.84,scattered clouds
179,Port Macquarie,AU,-31.4333,152.9167,71.01,61,10,1.99,clear sky
180,Yagodnoye,RU,62.55,149.6667,21.25,62,7,2.39,clear sky
181,Coquimbo,CL,-29.9533,-71.3436,51.8,87,0,4.61,clear sky
182,Albany,US,42.6001,-73.9662,42.01,55,63,1.99,broken clouds
183,La Palma,US,33.8464,-118.0467,59.0,77,90,10.36,overcast clouds
184,Huilong,CN,31.8111,121.655,75.0,65,7,5.99,clear sky
185,Okuchi,JP,32.0667,130.6167,69.8,30,75,10.36,broken clouds
186,Saint-Ambroise,CA,48.5501,-71.3324,43.0,93,100,16.11,light rain
187,Magistralnyy,RU,56.1725,107.4458,39.15,67,98,9.95,overcast clouds
188,Mahebourg,MU,-20.4081,57.7,77.0,88,75,14.97,moderate rain
189,Rokupr,SL,8.6717,-12.395,77.16,81,93,1.36,overcast clouds
190,Bone,DE,51.9669,12.1396,35.01,69,3,4.18,clear sky
191,Ugoofaaru,MV,5.6667,73.0,83.64,70,5,2.48,clear sky
192,Kampene,CD,-3.6,26.6667,67.35,96,78,1.19,broken clouds
193,Challapata,BO,-18.9,-66.7667,37.45,26,0,3.02,clear sky
