City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Port Lincoln,AU,2021-04-25 22:27:16,-34.7333,135.8667,59.92,77,6,6.87
160,Ixtapa,MX,2021-04-25 22:30:44,20.7,-105.2,80.6,78,75,13.8
161,Korla,CN,2021-04-25 22:30:44,41.7597,86.1469,47.41,25,23,4.43
162,Aloleng,PH,2021-04-25 22:30:45,16.1307,119.7824,79.7,72,6,5.75
163,Salalah,OM,2021-04-25 22:30:45,17.0151,54.0924,82.4,74,40,6.91
164,Chokurdakh,RU,2021-04-25 22:30:46,70.6333,147.9167,22.28,94,100,13.67
165,Lebu,CL,2021-04-25 22:30:46,-37.6167,-73.65,55.8,90,0,10.47
166,Dire Dawa,ET,2021-04-25 22:30:47,9.5931,41.8661,71.11,70,95,10.56
167,Ambilobe,MG,2021-04-25 22:30:47,-13.2,49.05,73.08,77,86,2.66
168,Airai,TL,2021-04-25 22:30:47,-8.9266,125.4092,60.35,72,22,1.83
169,Carnarvon,AU,2021-04-25 22:30:48,-24.8667,113.6333,59.0,82,0,5.75
170,Sitka,US,2021-04-25 22:28:30,57.0531,-135.33,55.4,47,20,5.75
171,Torbay,CA,2021-04-25 22:30:49,47.6666,-52.7314,46.4,49,20,14.97
172,Kokomo,US,2021-04-25 22:30:49,40.4864,-86.1336,54.0,43,1,10.36
173,Kaitangata,NZ,2021-04-25 22:30:50,-46.2817,169.8464,51.01,54,72,8.01
174,Quatre Cocos,MU,2021-04-25 22:30:51,-20.2078,57.7625,77.0,88,75,14.97
175,Porto Novo,BJ,2021-04-25 22:30:51,6.4965,2.6036,84.2,74,20,10.36
176,Port Blair,IN,2021-04-25 22:30:51,11.6667,92.75,80.94,75,99,3.98
177,Ukiah,US,2021-04-25 22:30:52,39.1502,-123.2078,57.2,47,40,8.05
178,Totness,SR,2021-04-25 22:30:52,5.8833,-56.3167,77.77,87,80,12.12
179,Solnechnyy,RU,2021-04-25 22:30:53,50.7214,136.6319,41.67,39,16,2.26
180,Antropovo,RU,2021-04-25 22:30:53,58.3988,43.0066,34.18,96,100,11.59
181,Roebourne,AU,2021-04-25 22:30:54,-20.7833,117.1333,75.9,48,0,8.1
182,Lokosovo,RU,2021-04-25 22:30:54,61.1333,74.8167,32.52,95,70,7.9
183,Puerto Montt,CL,2021-04-25 22:30:54,-41.4698,-72.9447,53.6,87,75,6.91
184,Novopavlovka,RU,2021-04-25 22:30:55,51.2172,109.2091,32.52,92,100,13.73
185,Poya,NC,2021-04-25 22:30:55,-21.35,165.15,75.74,76,88,9.35
186,Souillac,MU,2021-04-25 22:30:56,-20.5167,57.5167,77.0,88,75,14.97
187,Kyshtovka,RU,2021-04-25 22:30:56,56.555,76.6271,40.59,64,100,10.2
188,Gamboma,CG,2021-04-25 22:30:57,-1.8764,15.8644,76.68,77,75,1.01
189,Ancud,CL,2021-04-25 22:30:57,-41.8697,-73.8203,55.4,88,75,2.3
190,Vestmannaeyjar,IS,2021-04-25 22:30:58,63.4427,-20.2734,43.93,80,0,12.91
